Variable,Year,City,Budget,Lag1,Lag2,Variable_Education Spending,Variable_Electric Utility Spending,Variable_Envir. & Housing Spending,Variable_Gas Utility Spending,Variable_General Expenditures,Variable_Govt. Admin. Spending,Variable_Health & Welfare Spending,Variable_Interest on General Debt,Variable_Miscellaneous Spending,Variable_Public Safety Spending,Variable_Total Expenditures,Variable_Transit Utility Spending,Variable_Transportation Spending,Variable_Water Utility Spending,Predicted
Electric Utility Spending,2002.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2003.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2004.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2005.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2006.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2007.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2008.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2009.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2010.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2011.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2012.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2013.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2014.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2015.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2016.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2017.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2018.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2019.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2020.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2021.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2022.0,MA: Boston,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2023.0,MA: Boston,,4.580962794650281,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.580962794650281
Electric Utility Spending,2024.0,MA: Boston,,4.580962794650281,4.580962794650281,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.580962794650281
Electric Utility Spending,2025.0,MA: Boston,,4.580962794650281,4.580962794650281,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.580962794650281
Envir. & Housing Spending,2000.0,MA: Boston,1382.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Envir. & Housing Spending,2001.0,MA: Boston,1198.0,1382.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581.9875595910335
Envir. & Housing Spending,2002.0,MA: Boston,1173.0,1198.0,1382.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.5992151179032
Envir. & Housing Spending,2003.0,MA: Boston,1299.0,1173.0,1198.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.960513297579
Envir. & Housing Spending,2004.0,MA: Boston,1481.0,1299.0,1173.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385.3970710234803
Envir. & Housing Spending,2005.0,MA: Boston,1239.0,1481.0,1299.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.2762524649497
Envir. & Housing Spending,2006.0,MA: Boston,1396.0,1239.0,1481.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.611808400873
Envir. & Housing Spending,2007.0,MA: Boston,1328.0,1396.0,1239.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312.7513070308814
Envir. & Housing Spending,2008.0,MA: Boston,1306.0,1328.0,1396.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.3686487210377
Envir. & Housing Spending,2009.0,MA: Boston,1251.0,1306.0,1328.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.8353017883053
Envir. & Housing Spending,2010.0,MA: Boston,1313.0,1251.0,1306.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.4330728019809
Envir. & Housing Spending,2011.0,MA: Boston,1257.0,1313.0,1251.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.4330728019809
Envir. & Housing Spending,2012.0,MA: Boston,1354.0,1257.0,1313.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.8488088868398
Envir. & Housing Spending,2013.0,MA: Boston,1228.0,1354.0,1257.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.8488088868398
Envir. & Housing Spending,2014.0,MA: Boston,1166.0,1228.0,1354.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.5357955954807
Envir. & Housing Spending,2015.0,MA: Boston,1104.0,1166.0,1228.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.5466352212184
Envir. & Housing Spending,2016.0,MA: Boston,1150.0,1104.0,1166.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.7252159522657
Envir. & Housing Spending,2017.0,MA: Boston,1135.0,1150.0,1104.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139.5667726237048
Envir. & Housing Spending,2018.0,MA: Boston,1087.0,1135.0,1150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.569377629844
Envir. & Housing Spending,2019.0,MA: Boston,1162.0,1087.0,1135.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.0385661316154
Envir. & Housing Spending,2020.0,MA: Boston,1230.0,1162.0,1087.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.8948383379966
Envir. & Housing Spending,2021.0,MA: Boston,1358.0,1230.0,1162.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331.197012003618
Envir. & Housing Spending,2022.0,MA: Boston,,1358.0,1230.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.218372133786
Envir. & Housing Spending,2023.0,MA: Boston,,1321.218372133786,1358.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.218372133786
Envir. & Housing Spending,2024.0,MA: Boston,,1321.218372133786,1321.218372133786,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.218372133786
Envir. & Housing Spending,2025.0,MA: Boston,,1321.218372133786,1321.218372133786,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.218372133786
Gas Utility Spending,2000.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2001.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2002.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2003.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2004.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2005.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2006.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2007.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2008.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2009.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2010.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2011.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2012.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2013.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2014.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2015.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2016.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2017.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2018.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2019.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2020.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2021.0,MA: Boston,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2022.0,MA: Boston,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Utility Spending,2023.0,MA: Boston,,4.536994270782662,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.536994270782662
Gas Utility Spending,2024.0,MA: Boston,,4.536994270782662,4.536994270782662,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.536994270782662
Gas Utility Spending,2025.0,MA: Boston,,4.536994270782662,4.536994270782662,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.536994270782662
General Expenditures,2000.0,MA: Boston,6265.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
General Expenditures,2001.0,MA: Boston,6017.0,6265.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6078.695527163791
General Expenditures,2002.0,MA: Boston,6251.0,6017.0,6265.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6288.114811845734
General Expenditures,2003.0,MA: Boston,6503.0,6251.0,6017.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6395.030701597372
General Expenditures,2004.0,MA: Boston,6366.0,6503.0,6251.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6504.675118317304
General Expenditures,2005.0,MA: Boston,6200.0,6366.0,6503.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6457.003294303599
General Expenditures,2006.0,MA: Boston,6458.0,6200.0,6366.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6367.059193376235
General Expenditures,2007.0,MA: Boston,6425.0,6458.0,6200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6504.675118317304
General Expenditures,2008.0,MA: Boston,6601.0,6425.0,6458.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6509.922630099496
General Expenditures,2009.0,MA: Boston,6508.0,6601.0,6425.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6524.3152637648145
General Expenditures,2010.0,MA: Boston,6248.0,6508.0,6601.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6276.281826108337
General Expenditures,2011.0,MA: Boston,6050.0,6248.0,6508.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6122.133439738568
General Expenditures,2012.0,MA: Boston,6158.0,6050.0,6248.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6173.960551379542
General Expenditures,2013.0,MA: Boston,5996.0,6158.0,6050.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6220.720648385729
General Expenditures,2014.0,MA: Boston,6086.0,5996.0,6158.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6101.144857727303
General Expenditures,2015.0,MA: Boston,6142.0,6086.0,5996.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6143.67901374257
General Expenditures,2016.0,MA: Boston,6082.0,6142.0,6086.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6243.290774080661
General Expenditures,2017.0,MA: Boston,6186.0,6082.0,6142.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6196.530677074475
General Expenditures,2018.0,MA: Boston,6271.0,6186.0,6082.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6257.653546696806
General Expenditures,2019.0,MA: Boston,6428.0,6271.0,6186.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6398.987854162443
General Expenditures,2020.0,MA: Boston,6765.0,6428.0,6271.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6497.140992163767
General Expenditures,2021.0,MA: Boston,6970.0,6765.0,6428.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6902.782871958975
General Expenditures,2022.0,MA: Boston,,6970.0,6765.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7239.367553218665
General Expenditures,2023.0,MA: Boston,,7239.367553218665,6970.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7302.021504951746
General Expenditures,2024.0,MA: Boston,,7302.021504951746,7239.367553218665,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7302.021504951746
General Expenditures,2025.0,MA: Boston,,7302.021504951746,7302.021504951746,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7302.021504951746
Govt. Admin. Spending,2000.0,MA: Boston,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Govt. Admin. Spending,2001.0,MA: Boston,217.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.5512242026233
Govt. Admin. Spending,2002.0,MA: Boston,196.0,217.0,224.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.26536160816852
Govt. Admin. Spending,2003.0,MA: Boston,299.0,196.0,217.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.01886604260847
Govt. Admin. Spending,2004.0,MA: Boston,251.0,299.0,196.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.8089293264781
Govt. Admin. Spending,2005.0,MA: Boston,288.0,251.0,299.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.05808083807193
Govt. Admin. Spending,2006.0,MA: Boston,235.0,288.0,251.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.05808083807193
Govt. Admin. Spending,2007.0,MA: Boston,242.0,235.0,288.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.82293431657308
