Cabinet,Dept,Program,Expense Category,FY22 Actual Expense,FY23 Actual Expense,FY24 Appropriation,FY25 Budget
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Current Charges & Obligations,43996.1,102589.82,102631.9,107840
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Equipment,92311.76,11932.83,6000,5500
OPAT Cabinet,Office of Police Accountability & Transparency,Civilian Review Board (CRB),Personnel Services,16225,168146.48,19414.28,19285.71
OPAT Cabinet,Office of Police Accountability & Transparency,Internal Affairs Oversight Panel (IOAP),Personnel Services,8575,4500,10785.72,10714.29
Operations Cabinet,Property Management Department,PM Administration,Personnel Services,1990985.16,1721538.95,2213924.66,2317544.14
Operations Cabinet,Property Management Department,PM Administration,Contractual Services,116724.08,94467.95,110015.6,115279
Operations Cabinet,Property Management Department,PM Administration,Supplies & Materials,30618.58,26974.83,74100,57114.78
Operations Cabinet,Property Management Department,PM Administration,Current Charges & Obligations,125558.95,132375.44,89415,90875
Operations Cabinet,Property Management Department,PM Administration,Equipment,#Missing,#Missing,0,#Missing
Operations Cabinet,Property Management Department,Building Operations,Personnel Services,2208087.82,2551554.71,4187044.04,3299519.89
Operations Cabinet,Property Management Department,Building Operations,Contractual Services,7006501.08,6659281.59,8908972.33,10592960.93
Operations Cabinet,Property Management Department,Building Operations,Supplies & Materials,667193.95,159264.72,180385.32,194250
Operations Cabinet,Property Management Department,Building Operations,Current Charges & Obligations,8873.19,49736.65,1702803,1363603
Operations Cabinet,Property Management Department,Building Operations,Equipment,27380.36,122641.57,157708.5,188396.83
Operations Cabinet,Property Management Department,Alterations & Repair,Personnel Services,635205.99,732823.2,732905.05,1417660.59
Operations Cabinet,Property Management Department,Alterations & Repair,Contractual Services,5766626.66,3019565.45,1198575.6,1493888.2
Operations Cabinet,Property Management Department,Alterations & Repair,Supplies & Materials,69636.74,84350.96,69965,30090
Operations Cabinet,Property Management Department,Alterations & Repair,Equipment,27329.6,108644.29,19793.4,69738.65
Operations Cabinet,Property Management Department,Enforcement,Personnel Services,2501062.92,3310680.63,2983395.06,2755168.09
Operations Cabinet,Property Management Department,Enforcement,Contractual Services,99948.35,120891.17,182133.1,206498.27
Operations Cabinet,Property Management Department,Enforcement,Supplies & Materials,75345.26,121982.74,45055.33,76393.08
Operations Cabinet,Property Management Department,Enforcement,Current Charges & Obligations,8759.98,7200,18000,18000
Operations Cabinet,Property Management Department,Enforcement,Equipment,27494.01,39930.39,103505.29,133229.57
Operations Cabinet,Property Management Department,Security Systems,Personnel Services,644620.46,950831.9,825302.13,911560.55
Operations Cabinet,Property Management Department,Security Systems,Contractual Services,4423.3,-359.79,15586,16288
Operations Cabinet,Property Management Department,Security Systems,Supplies & Materials,14248.89,26431.47,17400,22000
Operations Cabinet,Property Management Department,Security Systems,Current Charges & Obligations,32.4,673.25,900,900
Operations Cabinet,Property Management Department,Security Systems,Equipment,6834.21,12944.73,41188.6,37691.55
Operations Cabinet,Property Management Department,Building Systems,Personnel Services,611583.39,701495.34,621244.92,1098046.75
Operations Cabinet,Property Management Department,Building Systems,Contractual Services,1268163.5,1322010.22,1596310,1799517.8
Operations Cabinet,Property Management Department,Building Systems,Supplies & Materials,11835.91,47251.46,54500,57000
Operations Cabinet,Property Management Department,Building Systems,Current Charges & Obligations,2450,650,2500,5000
Operations Cabinet,Property Management Department,Building Systems,Equipment,2694.99,3723.49,3000,3000
Operations Cabinet,Property Management Department,Animal Control History,Equipment,#Missing,#Missing,0,#Missing
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Personnel Services,7335539.27,8252807.83,9546891.44,10039336.82
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Contractual Services,474416.13,305414.67,477395,486879
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Supplies & Materials,13583.69,40668,21502.2,21520.68
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Current Charges & Obligations,10238.21,7661.21,20713,13713
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Equipment,9222.91,#Missing,5800,5800
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Personnel Services,1263528.21,1294935.52,1013044.87,1066967.04
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Contractual Services,395255.32,397530.23,292099.47,252082.03
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Supplies & Materials,1788.81,13567.83,1258,1585.54
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Current Charges & Obligations,65761.2,107105.49,60904,27970
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Equipment,2453.24,2453.22,2453,2453.23
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Personnel Services,2519242.9,2753797.8,3492137.22,3409095.91
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Contractual Services,415183.58,506756.44,336850,339120
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Supplies & Materials,159835.72,166700.28,206982,204731.95
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Current Charges & Obligations,917900.01,829970.71,133126.99,135943
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Equipment,243167.18,208667.4,24278.61,24278.61
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Personnel Services,7746582.28,8061678.83,8987225.07,9507822.83
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Contractual Services,560879.97,219883.32,302010,298924
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Supplies & Materials,29977.22,24619.46,24238,22694.55
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Current Charges & Obligations,8833.27,6784,6150,6150
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Equipment,113132.81,8521.69,8358.12,11073.87
Operations Cabinet,Inspectional Services Department,Field Services,Personnel Services,6894352.23,6807886.77,8077854.32,8299289.83
Operations Cabinet,Inspectional Services Department,Field Services,Contractual Services,235796.6,330367.45,300915,352616
Operations Cabinet,Inspectional Services Department,Field Services,Supplies & Materials,51271.84,46077.81,28312.98,39783.21
Operations Cabinet,Inspectional Services Department,Field Services,Current Charges & Obligations,3765,2766,6800,6800
Operations Cabinet,Inspectional Services Department,Field Services,Equipment,33062.15,35495.48,48339.47,42929.66
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Personnel Services,673613.21,754111.04,740676.6,1061796.64
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Contractual Services,161962.77,40519.09,111100,130135
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Supplies & Materials,1902.84,31402.38,7285,10439.99
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Current Charges & Obligations,24103.41,26876.39,8087,26180.26
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Equipment,16373,60645.07,#Missing,0
Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Personnel Services,1583781.78,1511602.67,2030239.64,1874630.68
Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Contractual Services,102233.72,24625.52,16081.2,21372
Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Supplies & Materials,#Missing,612.3,3800,1592.08
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Personnel Services,74400.76,87212.36,190773.44,96588.76
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Contractual Services,8500.68,6073.19,36792,77977
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Supplies & Materials,#Missing,497.32,500,151
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Equipment,#Missing,#Missing,#Missing,39969.6
Community Engagement Cabinet,Neighborhood Services,Boston 311,Personnel Services,1575088.58,1705561.57,1993242.51,2176434.32
Community Engagement Cabinet,Neighborhood Services,Boston 311,Contractual Services,#Missing,10734.02,13318,12070
Community Engagement Cabinet,Neighborhood Services,Boston 311,Supplies & Materials,#Missing,494.19,2700,510
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Personnel Services,1211535.16,1502451.11,2212299.61,2259825.11
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Contractual Services,2234496.11,1986945.11,2257041.22,2199486.95
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Supplies & Materials,2961.39,1641.75,15000,15000
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Current Charges & Obligations,45006.96,29029.3,45752,47400
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Equipment,1273.19,2558.95,0,0
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Personnel Services,1292740.38,1548605.13,1725038.99,1880370.36
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Contractual Services,720603.83,355527.89,335503.07,863554.16
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Supplies & Materials,5679.62,11552.21,23500,23500
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Current Charges & Obligations,46719.09,73174.87,83544,83414
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Equipment,6477.78,47565.86,3599.45,3599
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Contractual Services,12049.25,897.17,#Missing,#Missing
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Current Charges & Obligations,4.32,#Missing,#Missing,#Missing
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Personnel Services,160699.93,520228.65,937314.44,859429.84
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Contractual Services,1623229.05,2656698.67,3318776.05,3390854.84
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Supplies & Materials,5325,48242.32,20300,20300
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Current Charges & Obligations,#Missing,1500,140300,300
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Equipment,1395.48,#Missing,4889.67,4890
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Personnel Services,654298.54,682338.22,731753.33,640433.58
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,6184.04,6675.23,6635,4404
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Supplies & Materials,1756.17,168.68,2250,2250
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Current Charges & Obligations,4865.4,2020.42,350,#Missing
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Equipment,#Missing,994.37,#Missing,#Missing
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Personnel Services,67367.8,75769.09,75051.99,53713.31
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,#Missing,1260.85,1052,1754
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Personnel Services,865178.33,991880.63,1110115.74,1261873.1
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Contractual Services,39875.61,6013.84,14452,16956
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Supplies & Materials,8561.54,9289.81,12250,12250
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Current Charges & Obligations,3333.84,7869.95,5820,5773
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Equipment,#Missing,#Missing,0,9420
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Personnel Services,#Missing,#Missing,1798209.77,1733702.99
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Contractual Services,#Missing,#Missing,1096758,591926
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Supplies & Materials,#Missing,#Missing,5610,6110
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Current Charges & Obligations,#Missing,#Missing,0,#Missing
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Equipment,#Missing,#Missing,4800,4800
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Personnel Services,430981.83,453334.64,606725.52,680807.49
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Contractual Services,1014363.09,17233.84,36480,36010
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Supplies & Materials,2858.15,6848.2,14400,14399.61
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Current Charges & Obligations,409.26,5241.23,#Missing,0
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Personnel Services,224922.91,227680.69,282855.07,367312.98
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Contractual Services,5421.37,147975.14,331502,257200
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Supplies & Materials,1306.71,1869.07,1947.96,1468.39
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Current Charges & Obligations,44116.53,31244.98,59954,59954
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Equipment,30273.83,21733.81,24488.81,44488.81
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Other Expenses,173135.44,143073.43,225000,264200
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Personnel Services,75461.84,19386.51,169898.32,96492.96
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Contractual Services,1504.34,#Missing,4500,4500
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Supplies & Materials,484.03,#Missing,2500,2500
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Current Charges & Obligations,250,50.22,100,100
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Other Expenses,26721.34,17576.67,38750,50000
Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Boston Residents Job Policy,Personnel Services,#Missing,1746654.21,918631.58,1006929.36
Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Boston Residents Job Policy,Contractual Services,#Missing,167227.34,253740,133740
Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Boston Residents Job Policy,Supplies & Materials,#Missing,6563.38,5820,5820
Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Boston Residents Job Policy,Current Charges & Obligations,#Missing,8250.92,0,0
Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Boston Residents Job Policy,Equipment,#Missing,13127.17,3200,3200
Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Worker Empowerment Administration,Personnel Services,#Missing,#Missing,367180.31,397967.77
